artist,name
bison bc,lovelessness
bison bc,dark ages
bison bc,quiet earth
slabdragger,regress
electric citizen,sateen
earth crisis,salvation of innocents
earth crisis,neutralize the threat
earth crisis,to the death
earth crisis,19912001 forever true
earth crisis,last of the sane
earth crisis,slither
earth crisis,the oath that keeps me free
earth crisis,breed the killers
earth crisis,gomorrahs season ends
earth crisis,destroy the machines
suffocation,pinnacle of bedlam
suffocation,blood oath
suffocation,the best of suffocation
suffocation,suffocation
suffocation,souls to deny
suffocation,pierced from within
suffocation,breeding the spawn
suffocation,effigy of the forgotten
suffocation,human waste
thou,released from love you whom i have always hated
thou,algiers
thou,heathen
thou,degradation of human life
thou,oakland singles
thou,peasant
sleep,dopesmoker
sleep,sleeps holy mountain
sleep,volume 1
torche,harmonicraft
torche,songs for singles
torche,meanderthal
torche,in return
torche,torche
monarch,sabbracadaver
the devil and the almighty blues,the devil and the almighty blues
dark castle,surrender to all life beyond form
dark castle,spirited migration
black moth super rainbow,seefu lilac
black moth super rainbow,cobra juicy
black moth super rainbow,windshield smasher ep
black moth super rainbow,extra flavor dandelion gumera sessions
black moth super rainbow,the autumn kaleidoscope got changed
black moth super rainbow,eating us
black moth super rainbow,dandelion gum
black moth super rainbow,the house of apples eyeballs
black moth super rainbow,lost picking flowers in the woods
black moth super rainbow,start a people
black moth super rainbow,falling through a field
warbringer,iv empires collapse
warbringer,worlds torn asunder
warbringer,waking into nightmares
warbringer,war without end
boar,veneficae
boar,boar
palehorse,harm starts here
palehorse,split palehorse colin of arabia
palehorse,amongst the flock
deafheaven,new bermuda
deafheaven,sunbather
deafheaven,roads to judah
dillinger four,c i v i l w a r
dillinger four,situationist comedy
dillinger four,versus god
dillinger four,midwestern songs of the americas
the obsessed,the church within
the obsessed,incarnate
the obsessed,lunar womb
destrage,are you kidding me no
destrage,the king is fatnold
destrage,urban being
gorilla biscuits,start today
gorilla biscuits,gorilla biscuits
death threat,split
death threat,now here fast
death threat,for god government
death,vivus
death,individual thought patterns
death,symbolic
death,human
death,spiritual healing
death,scream bloody gore
drcarlsonalbion,gold
om,pilgrimage
om,conference of the birds
om,variations on a theme
mixtapes,ordinary silence
mixtapes,how to throw a successful party
mixtapes,even on the worst nights
mixtapes,a short collection of short songs
mixtapes,maps
electric wizard,black masses
electric wizard,come my fanaticsremaster
electric wizard,come my fanatics
electric wizard,electric wizardremaster
electric wizard,electric wizard
electric wizard,witchcult today
electric wizard,we liveremaster
